bin,count,mean_probability,observed_frequency,absolute_gap
1,38,0.039535785880701724,0.21052631578947367,0.17099052990877195
2,38,0.06537172494736837,0.21052631578947367,0.1451545908421053
3,38,0.09972144017894732,0.21052631578947367,0.11080487561052635
4,38,0.1450096542105263,0.23684210526315788,0.09183245105263158
5,38,0.21553940418421053,0.18421052631578946,0.03132887786842106
6,38,0.2990225124245614,0.34210526315789475,0.04308275073333334
7,37,0.4085382741801801,0.40540540540540543,0.0031328687747746997
8,37,0.5183890065765767,0.2972972972972973,0.2210917092792794
9,37,0.6371632232432433,0.5675675675675675,0.06959565567567572
10,37,0.7481090201801802,0.6216216216216216,0.12648739855855862
11,37,0.826520383063063,0.8108108108108109,0.015709572252252113
12,37,0.8854630687387388,0.8378378378378378,0.04762523090090098
13,37,0.9194253469369369,0.8108108108108109,0.10861453612612604
14,37,0.9510522995495497,0.8918918918918919,0.05916040765765784
15,37,0.978956148018018,0.8918918918918919,0.08706425612612612
