bin,count,mean_probability,observed_frequency,absolute_gap
1,38,0.12489135949909111,0.21052631578947367,0.08563495629038256
2,38,0.16561008536106914,0.21052631578947367,0.044916230428404536
3,38,0.20770010574959918,0.21052631578947367,0.0028262100398744883
4,38,0.2536155234105878,0.23684210526315788,0.016773418147429914
5,38,0.31286859102296816,0.18421052631578946,0.1286580647071787
6,38,0.3732263105681679,0.34210526315789475,0.03112104741027316
7,37,0.44389485000418344,0.40540540540540543,0.03848944459877801
8,37,0.5111985382107133,0.2972972972972973,0.21390124091341595
9,37,0.5850275951053483,0.5675675675675675,0.017460027537780753
10,37,0.6600285986826716,0.6216216216216216,0.03840697706105001
11,37,0.7213049552487774,0.8108108108108109,0.0895058555620335
12,37,0.7762897428306897,0.8378378378378378,0.061548095007148085
13,37,0.814795401100995,0.8108108108108109,0.0039845902901841646
14,37,0.8591274007474339,0.8918918918918919,0.03276449114445801
15,37,0.9140450008789692,0.8918918918918919,0.02215310898707734
