bin,count,mean_probability,observed_frequency,absolute_gap
1,70,0.0014563434451999656,0.0,0.0014563434451999656
2,70,0.002209968791204726,0.0,0.002209968791204726
3,70,0.0030295582296618645,0.0,0.0030295582296618645
4,69,0.0039625039154927155,0.014492753623188406,0.01053024970769569
5,69,0.0055139225375941585,0.0,0.0055139225375941585
6,69,0.00769211557819802,0.028985507246376812,0.021293391668178792
7,69,0.011994791392270493,0.0,0.011994791392270493
8,69,0.020540050398444407,0.0,0.020540050398444407
9,69,0.043193491670787405,0.028985507246376812,0.014207984424410593
10,69,0.10474073228388404,0.014492753623188406,0.09024797866069564
11,69,0.32209178553657003,0.057971014492753624,0.2641207710438164
12,69,0.7326621410079711,0.36231884057971014,0.37034330042826097
13,69,0.9780715399999999,0.9130434782608695,0.06502806173913034
14,69,0.995246716763285,1.0,0.004753283236714978
15,69,0.9979280438647344,1.0,0.0020719561352655624
