bin,count,mean_probability,observed_frequency,absolute_gap
1,70,0.001815126795504561,0.0,0.001815126795504561
2,70,0.0027169218364858426,0.0,0.0027169218364858426
3,70,0.0036843751876814396,0.0,0.0036843751876814396
4,69,0.0047744226102745075,0.014492753623188406,0.0097183310129139
5,69,0.006567749619927727,0.0,0.006567749619927727
6,69,0.009055530421746583,0.028985507246376812,0.019929976824630227
7,69,0.013897809398169713,0.0,0.013897809398169713
8,69,0.02333116067576067,0.0,0.02333116067576067
9,69,0.047700734553631045,0.028985507246376812,0.018715227307254233
10,69,0.11154416850831583,0.014492753623188406,0.09705141488512743
11,69,0.3271879349212259,0.057971014492753624,0.2692169204284723
12,69,0.7275180338649588,0.36231884057971014,0.3651991932852487
13,69,0.9753119146041357,0.9130434782608695,0.062268436343266176
14,69,0.9943129460540316,1.0,0.005687053945968357
15,69,0.9974499344178465,1.0,0.002550065582153538
