family,member,ensemble_scope,dataset,role,scale,temperature,samples,patients,negative_log_likelihood,brier_score,equal_frequency_ece,calibration_intercept,calibration_slope
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,validation_select,raw,1.551703890686541,554,12,0.5569555618342473,0.186550330845176,0.077523090333935,-0.07919926109931573,0.7403686774703113
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,validation_select,temperature,1.551703890686541,554,12,0.5473180923027268,0.1840611103553704,0.0615428596391093,-0.07919926109931585,1.1488329573731306
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,calibration,raw,1.551703890686541,561,12,0.5766897202816558,0.184650920826107,0.0843417086969697,-0.06311326182165436,0.6453596668472559
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,calibration,temperature,1.551703890686541,561,12,0.5502762870785435,0.1820118111106864,0.0718549477015838,-0.0631132618216542,1.0014071059390568
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,locked_test,raw,1.551703890686541,2873,49,0.684469260154592,0.2294410140975459,0.1087965820394187,-0.212998785487269,0.4635285693475973
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,locked_test,temperature,1.551703890686541,2873,49,0.6343790021675967,0.2192637212891457,0.0497785991890129,-0.21299878548726897,0.7192590845010328
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,validation_select,raw,1.190958576689045,1013,36,0.2109443759203055,0.0644932046425355,0.0518886491102665,-0.9117586696369606,0.8451408024957965
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,validation_select,temperature,1.190958576689045,1013,36,0.2090785242282275,0.0635570305901428,0.0547984544061181,-0.9117586696369602,1.0065276872422309
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,calibration,raw,1.190958576689045,1038,36,0.1939584799721931,0.057235138670861,0.0791567276202408,-2.0401392547802084,0.9800734491310603
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,calibration,temperature,1.190958576689045,1038,36,0.189940555397884,0.0562529903039379,0.0844795509786322,-2.0401392547802084,1.167226880027851
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_inter_test,raw,1.190958576689045,1429,41,0.3814624536832548,0.1120346110414883,0.1480909431368509,-3.018683552614493,1.0691087235705206
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_inter_test,temperature,1.190958576689045,1429,41,0.3540875316605551,0.1087514315358707,0.152216808753162,-3.018683552614494,1.273264203749389
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_intra_test,raw,1.190958576689045,1004,160,0.3691616810997632,0.1160643376922371,0.1287021601279183,-1.6757582237807402,0.8622943879052309
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_intra_test,temperature,1.190958576689045,1004,160,0.3500449418057418,0.1125135825601897,0.1288646536698628,-1.6757582237807402,1.026956896906565
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,validation_select,raw,1.5422992637002977,554,12,0.5547404052817878,0.1854105555445988,0.0722594461471119,-0.11352576039167765,0.7509501419166835
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,validation_select,temperature,1.5422992637002977,554,12,0.5459541141063264,0.1833698054732585,0.0613152353673224,-0.11352576039167778,1.158189850953735
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,calibration,raw,1.5422992637002977,561,12,0.575574074785492,0.1846925151740229,0.0810345659068627,-0.09098804949299985,0.6511186211596539
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,calibration,temperature,1.5422992637002977,561,12,0.5498614577812624,0.1820577335754699,0.0763145391665031,-0.09098804949299989,1.004219769996087
