family,member,ensemble_scope,dataset,role,samples,patients,accuracy,sensitivity,specificity,average_score,harmonic_score,score,macro_f1,uar,auroc,predicted_adventitious_fraction
exact,seed20260729,single_seed,icbhi2017,validation_select,554,12,0.7346570397111913,0.7415730337078652,0.7282229965156795,0.7348980151117723,0.7348373864635218,0.7348677007876471,0.7345523884026793,0.7348980151117723,0.7977919586579493,0.4981949458483754
exact,seed20260731,single_seed,icbhi2017,validation_select,554,12,0.6985559566787004,0.7565543071161048,0.6445993031358885,0.7005768051259966,0.6961040896348109,0.6983404473804038,0.69827184168387,0.7005768051259966,0.7733234154171398,0.5487364620938628
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,validation_select,554,12,0.720216606498195,0.7602996254681648,0.6829268292682927,0.7216132273682287,0.71953921134249,0.7205762193553593,0.7201719311623602,0.7216132273682287,0.797635359981208,0.5306859205776173
exact,seed20260729,single_seed,icbhi2017,calibration,561,12,0.7290552584670231,0.725,0.7330960854092526,0.7290480427046263,0.7290255659283665,0.7290368043164964,0.7290475101044764,0.7290480427046263,0.792272496187087,0.49554367201426025
exact,seed20260731,single_seed,icbhi2017,calibration,561,12,0.7540106951871658,0.775,0.7330960854092526,0.7540480427046263,0.753465872219928,0.7537569574622771,0.7539160839160839,0.7540480427046263,0.7877224199288255,0.5204991087344029
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,calibration,561,12,0.7450980392156863,0.7464285714285714,0.7437722419928826,0.745100406710727,0.7450980392156864,0.7450992229632067,0.7450980392156863,0.745100406710727,0.7974199288256228,0.5008912655971479
exact,seed20260729,single_seed,icbhi2017,locked_test,2873,49,0.6783849634528367,0.6238317757009346,0.7224669603524229,0.6731493680266787,0.6695361656256451,0.6713427668261619,0.6736238768976557,0.6731493680266787,0.7230041425767887,0.4323007309432649
exact,seed20260731,single_seed,icbhi2017,locked_test,2873,49,0.6306996171249565,0.6534267912772586,0.6123348017621145,0.6328807965196865,0.6322137863925037,0.6325472914560951,0.6298944910457807,0.6328807965196865,0.670549474678916,0.5064392620953707
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,locked_test,2873,49,0.6613296206056387,0.6401869158878505,0.6784140969162996,0.659300506402075,0.6587463898212473,0.6590234481116612,0.6586191302950335,0.659300506402075,0.7094981267240315,0.46397493908806126
exact,seed20260729,single_seed,sprsound2022,validation_select,1013,36,0.912142152023692,0.8590308370044053,0.9274809160305344,0.8932558765174698,0.8919445464042692,0.8926002114608695,0.8783327687908309,0.8932558765174698,0.969252670634787,0.24876604146100692
exact,seed20260731,single_seed,sprsound2022,validation_select,1013,36,0.8973346495557749,0.8678414096916299,0.905852417302799,0.8868469134972145,0.8864396175260534,0.8866432655116339,0.8615509157047037,0.8868469134972145,0.9559919740839135,0.2675222112537019
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,validation_select,1013,36,0.9091806515301086,0.8634361233480177,0.9223918575063613,0.8929139904271894,0.8919408343820909,0.8924274124046402,0.8751272898779089,0.8929139904271894,0.9678066606136015,0.25370187561697927
exact,seed20260729,single_seed,sprsound2022,calibration,1038,36,0.9229287090558767,0.961864406779661,0.9114713216957606,0.9366678642377109,0.9359900724821614,0.9363289683599361,0.8991532957344175,0.9366678642377109,0.9858669005452471,0.28709055876685935
exact,seed20260731,single_seed,sprsound2022,calibration,1038,36,0.9132947976878613,0.961864406779661,0.899002493765586,0.9304334502726235,0.9293716816671873,0.9299025659699054,0.8879060436184918,0.9304334502726235,0.9793947335052201,0.29672447013487474
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,calibration,1038,36,0.9190751445086706,0.961864406779661,0.9064837905236908,0.9341740986516759,0.9333533167810059,0.9337637077163409,0.8946248930441214,0.9341740986516759,0.9833942685658734,0.2909441233140655
exact,seed20260729,single_seed,sprsound2022,locked_inter_test,1429,41,0.8600419874037789,0.9820051413881749,0.8144230769230769,0.8982141091556259,0.8903975573880344,0.8943058332718301,0.8434672497119096,0.8982141091556259,0.973942060510184,0.40237928621413577
exact,seed20260731,single_seed,sprsound2022,locked_inter_test,1429,41,0.8439468159552135,0.9845758354755784,0.7913461538461538,0.8879609946608661,0.8774487902715087,0.8827048924661873,0.8276022875493456,0.8879609946608661,0.9747083250939291,0.4198740377886634
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_inter_test,1429,41,0.8586424072778167,0.987146529562982,0.8105769230769231,0.8988617263199525,0.8901905300108486,0.8945261281654006,0.8423805259479293,0.8988617263199525,0.978270219497726,0.4065780265920224
exact,seed20260729,single_seed,sprsound2022,locked_intra_test,1004,160,0.849601593625498,0.9367088607594937,0.809593023255814,0.8731509420076538,0.8685244692619712,0.8708377056348124,0.8387011315093708,0.8731509420076538,0.9584559905799234,0.4252988047808765
exact,seed20260731,single_seed,sprsound2022,locked_intra_test,1004,160,0.8217131474103586,0.9240506329113924,0.7747093023255814,0.849379967618487,0.8428155224139239,0.8460977450162055,0.8108123187375977,0.849379967618487,0.9460507433029143,0.4452191235059761
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_intra_test,1004,160,0.8426294820717132,0.9335443037974683,0.8008720930232558,0.8672081984103621,0.8621338934326236,0.8646710459214928,0.8316866140395552,0.8672081984103621,0.9565195392993817,0.4302788844621514
legacy-mask,seed20260729,single_seed,icbhi2017,validation_select,554,12,0.740072202166065,0.7602996254681648,0.7212543554006968,0.7407769904344308,0.7402624856866026,0.7405197380605166,0.7400586510263929,0.7407769904344308,0.8018765741429484,0.5108303249097473
legacy-mask,seed20260731,single_seed,icbhi2017,validation_select,554,12,0.6859205776173285,0.7453183520599251,0.6306620209059234,0.6879901864829243,0.6832132018209408,0.6856016941519325,0.685588665066277,0.6879901864829243,0.7746936538386252,0.5505415162454874
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,validation_select,554,12,0.7292418772563177,0.7752808988764045,0.686411149825784,0.7308460243510942,0.7281444182558389,0.7294952213034666,0.7291536295369212,0.7308460243510942,0.8005063357214631,0.5361010830324909
legacy-mask,seed20260729,single_seed,icbhi2017,calibration,561,12,0.7290552584670231,0.7321428571428571,0.7259786476868327,0.7290607524148449,0.7290477228154282,0.7290542376151365,0.7290543975597357,0.7290607524148449,0.7970132180986274,0.5026737967914439
legacy-mask,seed20260731,single_seed,icbhi2017,calibration,561,12,0.750445632798574,0.775,0.7259786476868327,0.7504893238434164,0.7496888151265486,0.7500890694849824,0.7503115542104326,0.7504893238434164,0.7869979664463651,0.5240641711229946
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,calibration,561,12,0.750445632798574,0.75,0.7508896797153025,0.7504448398576513,0.7504445761707171,0.7504447080141843,0.7504448398576513,0.7504448398576513,0.7982460599898322,0.49910873440285203
legacy-mask,seed20260729,single_seed,icbhi2017,locked_test,2873,49,0.6829098503306648,0.6370716510903427,0.7199496538703587,0.6785106524803507,0.6759798287859492,0.67724524063315,0.678773905223867,0.6785106524803507,0.7246906791041996,0.43961016359206406
legacy-mask,seed20260731,single_seed,icbhi2017,locked_test,2873,49,0.6390532544378699,0.6705607476635514,0.6135934550031467,0.642077101333349,0.6408135177129719,0.6414453095231605,0.6384840531028926,0.642077101333349,0.6744803154083076,0.5134006265227985
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,locked_test,2873,49,0.6724678036895232,0.6674454828660437,0.6765261170547514,0.6719857999603975,0.6719551230036546,0.6719704614820261,0.6705710826827902,0.6719857999603975,0.7123967541646327,0.477201531500174
legacy-mask,seed20260729,single_seed,sprsound2022,validation_select,1013,36,0.9052319842053307,0.8898678414096917,0.9096692111959288,0.8997685263028102,0.8996595832152413,0.8997140547590258,0.8725452162516383,0.8997685263028102,0.970642633755927,0.2694965449160908
legacy-mask,seed20260731,single_seed,sprsound2022,validation_select,1013,36,0.9042448173741362,0.8590308370044053,0.9173027989821882,0.8881668179932968,0.8872110230108823,0.8876889205020895,0.8688967075076084,0.8881668179932968,0.9593379740166571,0.25666337611056267
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,validation_select,1013,36,0.9072063178677197,0.8722466960352423,0.9173027989821882,0.8947747475087153,0.8942075510108206,0.894491149259768,0.8734826743197279,0.8947747475087153,0.9700877694454719,0.2596248766041461
legacy-mask,seed20260729,single_seed,sprsound2022,calibration,1038,36,0.9113680154142582,0.9703389830508474,0.8940149625935162,0.9321769728221818,0.9306146739592485,0.9313958233907151,0.8862194686047897,0.9321769728221818,0.9866594107950464,0.302504816955684
legacy-mask,seed20260731,single_seed,sprsound2022,calibration,1038,36,0.9152215799614644,0.9491525423728814,0.9052369077306733,0.9271947250517774,0.9266747202151666,0.926934722633472,0.8893390191897654,0.9271947250517774,0.9804725474449468,0.28901734104046245
