family,member,ensemble_scope,dataset,role,scale,temperature,samples,patients,negative_log_likelihood,brier_score,equal_frequency_ece,calibration_intercept,calibration_slope
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,validation_select,raw,1.551703890686541,554,12,0.5569555618342473,0.18655033084517603,0.07752309033393501,-0.07919926109932064,0.7403686774703205
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,validation_select,temperature,1.551703890686541,554,12,0.5473180923027268,0.1840611103553704,0.06154285963910933,-0.07919926109932003,1.1488329573731453
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,calibration,raw,1.551703890686541,561,12,0.5766897202816558,0.18465092082610707,0.0843417086969697,-0.06311326010824143,0.6453596801579524
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,calibration,temperature,1.551703890686541,561,12,0.5502762870785435,0.1820118111106864,0.07185494770158389,-0.06311326010824135,1.0014071265933169
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,locked_test,raw,1.551703890686541,2873,49,0.684469260154592,0.22944101409754594,0.10879658203941873,-0.21299878548871268,0.46352856935245457
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,locked_test,temperature,1.551703890686541,2873,49,0.6343790021675967,0.21926372128914579,0.0497785991890129,-0.21299878548871298,0.7192590845085698
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,validation_select,raw,1.190958576689045,1013,36,0.21094437592030557,0.06449320464253556,0.051888649110266534,-0.911758669636961,0.8451408024957969
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,validation_select,temperature,1.190958576689045,1013,36,0.2090785242282275,0.06355703059014288,0.05479845440611818,-0.911758669636961,1.0065276872422315
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,calibration,raw,1.190958576689045,1038,36,0.1939584799721931,0.05723513867086107,0.07915672762024084,-2.0401392825378633,0.9800734591377253
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,calibration,temperature,1.190958576689045,1038,36,0.18994055539788404,0.05625299030393793,0.08447955097863229,-2.040139282537863,1.167226891945374
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_inter_test,raw,1.190958576689045,1429,41,0.3814624536832548,0.11203461104148837,0.14809094313685092,-58517054.27787432,23902406.56361022
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_inter_test,temperature,1.190958576689045,1429,41,0.3540875316605551,0.10875143153587073,0.15221680875316204,-3.018683566766294,1.2732642085743546
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_intra_test,raw,1.190958576689045,1004,160,0.3691616810997632,0.11606433769223719,0.12870216012791832,-1.6757582264890132,0.8622943890123868
exact,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,sprsound2022,locked_intra_test,temperature,1.190958576689045,1004,160,0.35004494180574186,0.11251358256018976,0.12886465366986283,-1.6757582264890132,1.0269568982251418
legacy-mask,matched_completer_ensemble,diagnostic_two_seed_20260729_20260731,icbhi2017,validation_select,raw,1.5422992637002977,554,12,0.5547404052817878,0.18541055554459887,0.0722594461471119,-0.11352576039168803,0.750950141916705
