family,dataset,role,scale,temperature,samples,patients,negative_log_likelihood,brier_score,equal_frequency_ece,calibration_intercept,calibration_slope,regression_status
exact,icbhi2017,validation_select,raw,1.6464554911106857,554,12,0.5538751520319435,0.1845360164532782,0.09137240106582428,-0.10126202486108085,0.7242045413916047,finite_independently_verified
exact,icbhi2017,validation_select,temperature,1.6464554911106857,554,12,0.5429436842019201,0.18202392791628683,0.07985987214620897,-0.10126202486108109,1.1923705438615035,finite_independently_verified
exact,icbhi2017,calibration,raw,1.6464554911106857,561,12,0.5808947905133659,0.18486751822069838,0.08888626630409982,-0.07064108199490411,0.6084711161929377,finite_independently_verified
exact,icbhi2017,calibration,temperature,1.6464554911106857,561,12,0.5446101020749239,0.18014215160656563,0.055171566805108534,-0.0706410819949041,1.0018206104381102,finite_independently_verified
exact,icbhi2017,locked_test,raw,1.6464554911106857,2873,49,0.7009519571616052,0.2324706963365918,0.12483455205337164,-0.20862720318209996,0.42991355163819933,finite_independently_verified
exact,icbhi2017,locked_test,temperature,1.6464554911106857,2873,49,0.6321376407416179,0.21824762307243611,0.055070505546835694,-0.20862720318209993,0.7078335277976108,finite_independently_verified
exact,sprsound2022,validation_select,raw,1.0350845956825019,1013,36,0.16885218678432667,0.05008839315473353,0.02058070506008523,-0.343584802188762,0.9852364391298235,finite_independently_verified
exact,sprsound2022,validation_select,temperature,1.0350845956825019,1013,36,0.16915753269723924,0.050120707560666056,0.020550300071830837,-0.343584802188762,1.0198030612483613,finite_independently_verified
exact,sprsound2022,calibration,raw,1.0350845956825019,1038,36,0.14684701712683673,0.041688087632790374,0.05899158678933108,-1.5848805149686425,1.002635077580445,finite_independently_verified
exact,sprsound2022,calibration,temperature,1.0350845956825019,1038,36,0.1467271370331469,0.04169071877710226,0.059990703352303124,-1.584880514968642,1.0378121238944484,finite_independently_verified
exact,sprsound2022,locked_inter_test,raw,1.0350845956825019,1429,41,0.300433636617983,0.08995676323700337,0.12156471039721203,-2.5004468186218913,1.0390339574711733,finite_independently_verified
exact,sprsound2022,locked_inter_test,temperature,1.0350845956825019,1429,41,0.2966871425524849,0.08948276022094724,0.12223135124872456,-2.5004468186218913,1.0754880437694392,finite_independently_verified
exact,sprsound2022,locked_intra_test,raw,1.0350845956825019,1004,160,0.28329603084904237,0.08658031781130492,0.09416247808174302,-1.2478232229369959,0.8929642285687079,finite_independently_verified
exact,sprsound2022,locked_intra_test,temperature,1.0350845956825019,1004,160,0.2815483713714719,0.08637599084851516,0.09377664374351422,-1.2478232229369957,0.9242935174869781,finite_independently_verified
no-js,icbhi2017,validation_select,raw,1.649791327978587,554,12,0.5541411000798436,0.1845672621108134,0.09172964761317692,-0.10238865108429887,0.7227144500872712,finite_independently_verified
no-js,icbhi2017,validation_select,temperature,1.649791327978587,554,12,0.5430037540163367,0.18204079441320503,0.07998709799734634,-0.10238865108429845,1.1923280323587933,finite_independently_verified
no-js,icbhi2017,calibration,raw,1.649791327978587,561,12,0.581251783808622,0.18493539383083643,0.08928845592002378,-0.07217059304852817,0.6073201145769277,finite_independently_verified
no-js,icbhi2017,calibration,temperature,1.649791327978587,561,12,0.5446356725068161,0.18015839990439045,0.05536458643482131,-0.07217059545309146,1.0019514188000107,finite_independently_verified
no-js,icbhi2017,locked_test,raw,1.649791327978587,2873,49,0.7007970838514469,0.23235879408564383,0.12508499609323936,-0.2089300665767026,0.43012393439247937,finite_independently_verified
no-js,icbhi2017,locked_test,temperature,1.649791327978587,2873,49,0.6317879979327022,0.21811020474578427,0.05576965618295319,-0.20893006657670266,0.7096147369167431,finite_independently_verified
no-js,sprsound2022,validation_select,raw,1.0366310961730678,1013,36,0.16894719378410808,0.050112962745114675,0.020596277184815586,-0.3443699615048361,0.9835857659899006,finite_independently_verified
no-js,sprsound2022,validation_select,temperature,1.0366310961730678,1013,36,0.16926064733995502,0.050146595524846904,0.020573579755781904,-0.3443699615048361,1.0196155907783373,finite_independently_verified
no-js,sprsound2022,calibration,raw,1.0366310961730678,1038,36,0.1469912769772919,0.04171654251010463,0.0590113590844255,-1.5855036009887122,1.0007285032180522,finite_independently_verified
no-js,sprsound2022,calibration,temperature,1.0366310961730678,1038,36,0.14686078669632902,0.04171964480787259,0.060053728996627836,-1.585503632397959,1.0373863037402493,finite_independently_verified
no-js,sprsound2022,locked_inter_test,raw,1.0366310961730678,1429,41,0.300096777615261,0.08979715200445901,0.1213644833489426,-2.4933906973279316,1.036522817933164,finite_independently_verified
no-js,sprsound2022,locked_inter_test,temperature,1.0366310961730678,1429,41,0.296204658079889,0.08930704667621815,0.12206157731240999,-2.493390697327931,1.074491784962453,finite_independently_verified
no-js,sprsound2022,locked_intra_test,raw,1.0366310961730678,1004,160,0.28369724931044504,0.08664555812636365,0.09416076733621415,-1.246239922246922,0.8904161788669044,finite_independently_verified
no-js,sprsound2022,locked_intra_test,temperature,1.0366310961730678,1004,160,0.28185813289052225,0.08643289897354667,0.09376025722662377,-1.246239922246922,0.9230330995490336,finite_independently_verified
