family,member,dataset,role,samples,patients,accuracy,sensitivity,specificity,average_score,harmonic_score,score,macro_f1,uar,auroc,predicted_adventitious_fraction
exact,seed20260729,icbhi2017,validation_select,554,12,0.7346570397111913,0.7415730337078652,0.7282229965156795,0.7348980151117723,0.7348373864635218,0.7348677007876471,0.7345523884026793,0.7348980151117723,0.7977919586579493,0.4981949458483754
exact,seed20260730,icbhi2017,validation_select,554,12,0.7093862815884476,0.7378277153558053,0.6829268292682927,0.710377272312049,0.7093165305728799,0.7098469014424644,0.7093853347017904,0.710377272312049,0.782184290542745,0.51985559566787
exact,seed20260731,icbhi2017,validation_select,554,12,0.6985559566787004,0.7565543071161048,0.6445993031358885,0.7005768051259966,0.6961040896348109,0.6983404473804038,0.69827184168387,0.7005768051259966,0.7733234154171398,0.5487364620938628
exact,ensemble,icbhi2017,validation_select,554,12,0.7166064981949458,0.7528089887640449,0.6829268292682927,0.7178679090161688,0.716167207482344,0.7170175582492564,0.7165834123516167,0.7178679090161688,0.8022941706142581,0.5270758122743683
exact,seed20260729,icbhi2017,calibration,561,12,0.7290552584670231,0.725,0.7330960854092526,0.7290480427046263,0.7290255659283665,0.7290368043164964,0.7290475101044764,0.7290480427046263,0.792272496187087,0.49554367201426025
exact,seed20260730,icbhi2017,calibration,561,12,0.7397504456327986,0.7571428571428571,0.7224199288256228,0.73978139298424,0.7393739477029859,0.739577670343613,0.7396834477498093,0.73978139298424,0.7954880528723945,0.5169340463458111
exact,seed20260731,icbhi2017,calibration,561,12,0.7540106951871658,0.775,0.7330960854092526,0.7540480427046263,0.753465872219928,0.7537569574622771,0.7539160839160839,0.7540480427046263,0.7877224199288255,0.5204991087344029
exact,ensemble,icbhi2017,calibration,561,12,0.732620320855615,0.7392857142857143,0.7259786476868327,0.7326321809862735,0.7325717557053267,0.7326019683458,0.7326126744452071,0.7326321809862735,0.8004829689883071,0.5062388591800356
exact,seed20260729,icbhi2017,locked_test,2873,49,0.6783849634528367,0.6238317757009346,0.7224669603524229,0.6731493680266787,0.6695361656256451,0.6713427668261619,0.6736238768976557,0.6731493680266787,0.7230041425767887,0.4323007309432649
exact,seed20260730,icbhi2017,locked_test,2873,49,0.6568047337278107,0.6417445482866043,0.6689741976085588,0.6553593729475815,0.6550765304977736,0.6552179517226775,0.6544131712449226,0.6553593729475815,0.6989919501087108,0.4698920988513749
exact,seed20260731,icbhi2017,locked_test,2873,49,0.6306996171249565,0.6534267912772586,0.6123348017621145,0.6328807965196865,0.6322137863925037,0.6325472914560951,0.6298944910457807,0.6328807965196865,0.670549474678916,0.5064392620953707
exact,ensemble,icbhi2017,locked_test,2873,49,0.663418029933867,0.6479750778816199,0.6758967904342353,0.6619359341579276,0.6616414864660741,0.6617887103120008,0.6610128770865706,0.6619359341579276,0.7135877694978522,0.4688478941872607
exact,seed20260729,sprsound2022,validation_select,1013,36,0.912142152023692,0.8590308370044053,0.9274809160305344,0.8932558765174698,0.8919445464042692,0.8926002114608695,0.8783327687908309,0.8932558765174698,0.969252670634787,0.24876604146100692
exact,seed20260730,sprsound2022,validation_select,1013,36,0.9407699901283317,0.762114537444934,0.9923664122137404,0.8772404748293372,0.8621317539723612,0.8696861144008492,0.9075898558657178,0.8772404748293372,0.9751095716895899,0.17670286278381048
exact,seed20260731,sprsound2022,validation_select,1013,36,0.8973346495557749,0.8678414096916299,0.905852417302799,0.8868469134972145,0.8864396175260534,0.8866432655116339,0.8615509157047037,0.8868469134972145,0.9559919740839135,0.2675222112537019
exact,ensemble,sprsound2022,validation_select,1013,36,0.9318854886475815,0.8458149779735683,0.9567430025445293,0.9012789902590488,0.8978657778219988,0.8995723840405239,0.9019084467609453,0.9012789902590488,0.9728284628577194,0.22309970384995065
exact,seed20260729,sprsound2022,calibration,1038,36,0.9229287090558767,0.961864406779661,0.9114713216957606,0.9366678642377109,0.9359900724821614,0.9363289683599361,0.8991532957344175,0.9366678642377109,0.9858669005452471,0.28709055876685935
exact,seed20260730,sprsound2022,calibration,1038,36,0.9624277456647399,0.9364406779661016,0.970074812967581,0.9532577454668414,0.9529610641540806,0.9531094048104609,0.9472337541303059,0.9532577454668414,0.9871613339532525,0.23603082851637766
exact,seed20260731,sprsound2022,calibration,1038,36,0.9132947976878613,0.961864406779661,0.899002493765586,0.9304334502726235,0.9293716816671873,0.9299025659699054,0.8879060436184918,0.9304334502726235,0.9793947335052201,0.29672447013487474
