family,dataset,role,scale,temperature,samples,patients,negative_log_likelihood,brier_score,equal_frequency_ece,calibration_intercept,calibration_slope,regression_status
exact,icbhi2017,validation_select,raw,1.6464554911106857,554,12,0.5538751520319435,0.1845360164532782,0.09137240106582428,-0.10126202486108085,0.7242045413916047,finite_independently_verified
exact,icbhi2017,validation_select,temperature,1.6464554911106857,554,12,0.5429436842019201,0.18202392791628683,0.07985987214620897,-0.10126202486108109,1.1923705438615035,finite_independently_verified
exact,icbhi2017,calibration,raw,1.6464554911106857,561,12,0.5808947905133659,0.18486751822069838,0.08888626630409982,-0.07064108199490411,0.6084711161929377,finite_independently_verified
exact,icbhi2017,calibration,temperature,1.6464554911106857,561,12,0.5446101020749239,0.18014215160656563,0.055171566805108534,-0.0706410819949041,1.0018206104381102,finite_independently_verified
exact,icbhi2017,locked_test,raw,1.6464554911106857,2873,49,0.7009519571616052,0.2324706963365918,0.12483455205337164,-0.20862720318209996,0.42991355163819933,finite_independently_verified
exact,icbhi2017,locked_test,temperature,1.6464554911106857,2873,49,0.6321376407416179,0.21824762307243611,0.055070505546835694,-0.20862720318209993,0.7078335277976108,finite_independently_verified
exact,sprsound2022,validation_select,raw,1.0350845956825019,1013,36,0.16885218678432667,0.05008839315473353,0.02058070506008523,-0.343584802188762,0.9852364391298235,finite_independently_verified
exact,sprsound2022,validation_select,temperature,1.0350845956825019,1013,36,0.16915753269723924,0.050120707560666056,0.020550300071830837,-0.343584802188762,1.0198030612483613,finite_independently_verified
exact,sprsound2022,calibration,raw,1.0350845956825019,1038,36,0.14684701712683673,0.041688087632790374,0.05899158678933108,-1.5848805149686425,1.002635077580445,finite_independently_verified
exact,sprsound2022,calibration,temperature,1.0350845956825019,1038,36,0.1467271370331469,0.04169071877710226,0.059990703352303124,-1.584880514968642,1.0378121238944484,finite_independently_verified
exact,sprsound2022,locked_inter_test,raw,1.0350845956825019,1429,41,0.300433636617983,0.08995676323700337,0.12156471039721203,-2.5004468186218913,1.0390339574711733,finite_independently_verified
exact,sprsound2022,locked_inter_test,temperature,1.0350845956825019,1429,41,0.2966871425524849,0.08948276022094724,0.12223135124872456,-2.5004468186218913,1.0754880437694392,finite_independently_verified
exact,sprsound2022,locked_intra_test,raw,1.0350845956825019,1004,160,0.28329603084904237,0.08658031781130492,0.09416247808174302,-1.2478232229369959,0.8929642285687079,finite_independently_verified
exact,sprsound2022,locked_intra_test,temperature,1.0350845956825019,1004,160,0.2815483713714719,0.08637599084851516,0.09377664374351422,-1.2478232229369957,0.9242935174869781,finite_independently_verified
matched-lora,icbhi2017,validation_select,raw,1.5138173943395636,554,12,0.6731934255988747,0.23178920071575973,0.11652244439470516,-0.19909773545439965,0.5247895168752569,finite_independently_verified
matched-lora,icbhi2017,validation_select,temperature,1.5138173943395636,554,12,0.6359582857105688,0.22215961312752602,0.07766977229887143,-0.19909773545439968,0.7944354990128198,finite_independently_verified
matched-lora,icbhi2017,calibration,raw,1.5138173943395636,561,12,0.5945540133668534,0.1975877199137898,0.09048326741628046,-0.14794675566481139,0.6718908776657384,finite_independently_verified
matched-lora,icbhi2017,calibration,temperature,1.5138173943395636,561,12,0.5742673299026029,0.19406799418316575,0.06820863720719768,-0.1479467556648114,1.0171200977084707,finite_independently_verified
matched-lora,icbhi2017,locked_test,raw,1.5138173943395636,2873,49,0.8084186465641287,0.2685067262215902,0.15611187658463865,-0.331552651316004,0.2977318576385648,finite_independently_verified
matched-lora,icbhi2017,locked_test,temperature,1.5138173943395636,2873,49,0.7176714205619105,0.25129802728936934,0.1066356623908251,-0.331552651316004,0.45071166494229004,finite_independently_verified
matched-lora,sprsound2022,validation_select,raw,0.9126123246619043,1013,36,0.24299055074024947,0.0743373471609228,0.06487483302981245,-0.8838184532258371,1.0008156219025968,finite_independently_verified
matched-lora,sprsound2022,validation_select,temperature,0.9126123246619043,1013,36,0.24251404781959024,0.0746176123194392,0.06232190127531759,-0.8838184532258371,0.9133566712624785,finite_independently_verified
matched-lora,sprsound2022,calibration,raw,0.9126123246619043,1038,36,0.2043068345158025,0.059682842135946414,0.09379281364495826,-1.9041577508439473,1.1556751644234804,finite_independently_verified
matched-lora,sprsound2022,calibration,temperature,0.9126123246619043,1038,36,0.20329719738250285,0.05958698164029979,0.08936093843295216,-1.9041577508439471,1.0546833983585406,finite_independently_verified
matched-lora,sprsound2022,locked_inter_test,raw,0.9126123246619043,1429,41,0.3999695515881476,0.11946047858756005,0.16674203588786335,-2.6345330271313414,1.049801091664508,finite_independently_verified
matched-lora,sprsound2022,locked_inter_test,temperature,0.9126123246619043,1429,41,0.4157840662556399,0.12114555517067083,0.1645648812534675,-2.6345330271313414,0.9580614146965513,finite_independently_verified
matched-lora,sprsound2022,locked_intra_test,raw,0.9126123246619043,1004,160,0.3825973120010868,0.12286845826693102,0.14721198961729748,-1.66611233288616,0.9873245702192366,finite_independently_verified
matched-lora,sprsound2022,locked_intra_test,temperature,0.9126123246619043,1004,160,0.39079716713792945,0.12440652369319441,0.14480577837979283,-1.6661123328861602,0.9010445712235933,finite_independently_verified
